rank,entry,exit_pack,asset,mean_net_return_pct,median_net_return_pct,mean_calmar,mean_sharpe,max_drawdown_pct,mean_profit_factor,mean_net_expectancy_r,mean_gross_expectancy_r,mean_gross_return_pct,total_trades,mean_win_rate,positive_windows,n_windows,avg_cost_per_trade,mean_cost_drag_pct,mean_turnover,mean_time_in_market,worst_window_return_pct,screen_gate,promotion_gate
1,D_bb_squeeze,T1_trend,GBP/USD,-4.7673,-5.1123,-3.5550,-4.3766,6.2596,0.4904,-0.0863,-0.0119,-0.6957,274,0.2569,0,5,7.4343,1013.24,18.58,0.4177,-6.2415,False,False
2,D_bb_squeeze,T2_mean_revert,GBP/USD,-6.1306,-5.6251,-4.0378,-7.7487,8.9112,0.4059,-0.0861,-0.0123,-0.9104,354,0.3687,0,5,7.3760,1217.12,24.00,0.2540,-8.7944,False,False
3,D_bb_squeeze,T3_balanced,GBP/USD,-4.6459,-4.5556,-3.9946,-4.4861,5.8957,0.5530,-0.0794,-0.0050,-0.3015,292,0.3394,0,5,7.4403,1189.08,19.80,0.3701,-5.8957,False,False
4,E_baseline,T1_trend,GBP/USD,-1.7602,-1.9450,-2.7031,-2.3664,3.3101,0.6239,-0.0649,0.0105,0.1992,130,0.2994,0,5,7.5406,605.01,8.81,0.1859,-3.2046,False,False
5,E_baseline,T2_mean_revert,GBP/USD,-2.1496,-1.8574,-3.5808,-3.7158,3.6134,0.4940,-0.0782,-0.0030,-0.1052,136,0.3718,0,5,7.5199,634.58,9.22,0.1026,-3.4172,False,False
6,E_baseline,T3_balanced,GBP/USD,-1.8879,-1.4326,-2.6023,-2.6008,3.7179,0.6312,-0.0708,0.0046,0.0873,131,0.3497,1,5,7.5432,451.24,8.88,0.1571,-3.7179,False,False
7,C_ema_pullback,T1_trend,GBP/USD,-4.6725,-4.3564,-3.1181,-3.3551,9.2108,0.6459,-0.0573,0.0169,1.1869,395,0.2846,0,5,7.4243,582.28,26.78,0.6371,-8.8802,False,False
8,C_ema_pullback,T2_mean_revert,GBP/USD,-8.2859,-7.8321,-4.0741,-8.3494,12.2079,0.4619,-0.0722,0.0007,0.0522,572,0.3819,0,5,7.2903,1448.64,38.78,0.3925,-12.2079,False,False
9,C_ema_pullback,T3_balanced,GBP/USD,-5.1136,-4.1871,-3.6928,-4.0276,8.9773,0.6591,-0.0558,0.0183,1.5836,452,0.3576,0,5,7.4113,328.45,30.64,0.4903,-8.9773,False,False
