fee_rate,fee_pct,entry,exit_pack,mean_net_return_pct,mean_calmar,mean_profit_factor,max_drawdown_pct,total_trades,positive_windows,screen_gate,promotion_gate
0.0,0.00%,C_ema_pullback,T1_trend,15.949788034962413,5.547480997997907,1.392724074886815,12.303939525094494,524,4,True,False
0.0,0.00%,D_bb_squeeze,T1_trend,11.824763872728287,7.272120714976356,1.5618072434479093,7.531305279955775,281,5,True,True
0.0,0.00%,E_baseline,T1_trend,7.265232276929671,8.183986950204005,1.8080174324523237,9.180630898017354,190,5,True,True
0.0002,0.02%,C_ema_pullback,T1_trend,3.5846419977668065,1.4637679933063237,1.1001228999890598,17.69246029385766,524,3,False,False
0.0002,0.02%,D_bb_squeeze,T1_trend,4.974460086901202,2.8341109523417023,1.2103659969231522,11.073027664673713,281,3,True,False
0.0002,0.02%,E_baseline,T1_trend,2.874055444848074,4.194755215171566,1.4201456837476798,11.698914817315144,190,2,False,False
0.0005,0.05%,C_ema_pullback,T1_trend,-1.2955630264972826,0.42505876063722975,0.9984999842642021,21.094865424631553,524,2,False,False
0.0005,0.05%,D_bb_squeeze,T1_trend,2.167739377053766,1.6067852274979622,1.0927977028962688,13.248781037266747,281,3,True,False
0.0005,0.05%,E_baseline,T1_trend,1.04986508815542,2.9570718798354747,1.2844528981115881,12.75766012911925,190,2,False,False
0.0008,0.08%,C_ema_pullback,T1_trend,-5.941899042724943,-0.36470219799471504,0.9084798470735521,24.91575728474427,524,2,False,False
0.0008,0.08%,D_bb_squeeze,T1_trend,-0.5644509031142956,0.6243440813237757,0.9900590787249529,15.3723309294155,281,2,False,False
0.0008,0.08%,E_baseline,T1_trend,-0.740620860770061,2.0024665630925846,1.1648081624301643,13.80428738345605,190,2,False,False
0.001,0.10%,C_ema_pullback,T1_trend,-8.91517942006453,-0.7827966451870848,0.8540391086384769,27.360720811554284,524,2,False,False
0.001,0.10%,D_bb_squeeze,T1_trend,-2.3454787301500755,0.07302976790190097,0.9285084524042253,16.759636431891316,281,2,False,False
0.001,0.10%,E_baseline,T1_trend,-1.9158676319443757,1.4457585708335252,1.0920945212458548,14.49537192272759,190,2,False,False
0.0015,0.15%,C_ema_pullback,T1_trend,-15.936811863258367,-1.5299607893393101,0.7353014735475016,33.17591664728777,524,1,False,False
0.0015,0.15%,D_bb_squeeze,T1_trend,-6.660673016098954,-0.9947956047020432,0.7946598148585007,20.131111312632836,281,2,False,False
0.0015,0.15%,E_baseline,T1_trend,-4.790893945205579,0.29887698204120394,0.9338983130233126,16.200031342350467,190,2,False,False
0.002,0.20%,C_ema_pullback,T1_trend,-22.408151592819824,-1.9590828438779706,0.6371835685239718,38.54983274555121,524,1,False,False
0.002,0.20%,D_bb_squeeze,T1_trend,-10.786479083693868,-1.6618829317398962,0.6846607368338062,23.368631664002834,281,0,False,False
0.002,0.20%,E_baseline,T1_trend,-7.578044228569235,-0.5534610044214021,0.8036784061952098,17.872237366295867,190,2,False,False
0.0026,0.26%,C_ema_pullback,T1_trend,-29.50883434706434,-2.278954685227787,0.5404803433993417,44.43659987399437,524,0,False,False
0.0026,0.26%,D_bb_squeeze,T1_trend,-15.499060177236265,-2.1514677493269327,0.5776585316636833,27.084170252942087,281,0,False,False
0.0026,0.26%,E_baseline,T1_trend,-10.81048232961884,-1.3315650684666913,0.676168379714854,20.975482604570715,190,1,False,False
