rank,entry,exit_pack,asset,mean_net_return_pct,median_net_return_pct,mean_calmar,mean_sharpe,max_drawdown_pct,mean_profit_factor,mean_net_expectancy_r,mean_gross_expectancy_r,mean_gross_return_pct,total_trades,mean_win_rate,positive_windows,n_windows,avg_cost_per_trade,mean_cost_drag_pct,mean_turnover,mean_time_in_market,worst_window_return_pct,screen_gate,promotion_gate
1,D_bb_squeeze,T1_trend,GBP/USD,-0.7172,-1.1347,-1.3478,-0.7034,2.5365,0.8960,-0.0123,-0.0123,-0.7172,274,0.3252,1,5,0.0000,0.00,18.58,0.4177,-1.8641,False,False
2,D_bb_squeeze,T2_mean_revert,GBP/USD,-0.9412,-0.2920,-1.3147,-1.2245,3.5635,0.8780,-0.0127,-0.0127,-0.9412,354,0.3744,1,5,0.0000,0.00,24.00,0.2540,-3.3666,False,False
3,D_bb_squeeze,T3_balanced,GBP/USD,-0.3169,-0.1007,-0.6129,-0.2763,2.6866,0.9711,-0.0053,-0.0053,-0.3169,292,0.3394,2,5,0.0000,0.00,19.80,0.3701,-1.6519,False,False
4,E_baseline,T1_trend,GBP/USD,0.1991,0.0886,2.4105,0.1806,1.6784,1.1464,0.0105,0.0105,0.1991,130,0.3429,3,5,0.0000,0.00,8.81,0.1859,-1.3461,True,False
5,E_baseline,T2_mean_revert,GBP/USD,-0.1066,-0.2895,0.9202,-0.1139,1.2184,1.0193,-0.0030,-0.0030,-0.1066,136,0.3718,2,5,0.0000,0.00,9.22,0.1026,-0.8723,False,False
6,E_baseline,T3_balanced,GBP/USD,0.0842,0.0918,2.3225,0.0523,1.7841,1.0867,0.0045,0.0045,0.0842,131,0.3497,3,5,0.0000,0.00,8.88,0.1571,-1.2864,True,False
7,C_ema_pullback,T1_trend,GBP/USD,1.2182,1.5631,6.0988,0.7797,3.5147,1.1879,0.0173,0.0173,1.2182,395,0.3956,4,5,0.0000,0.00,26.78,0.6371,-2.7212,True,False
8,C_ema_pullback,T2_mean_revert,GBP/USD,0.0452,0.6042,2.7257,0.0020,4.0957,1.0255,0.0007,0.0007,0.0452,572,0.3836,4,5,0.0000,0.00,38.78,0.3925,-4.0375,False,False
9,C_ema_pullback,T3_balanced,GBP/USD,1.6304,2.2852,4.8658,1.2443,2.9999,1.1842,0.0189,0.0189,1.6304,452,0.3576,4,5,0.0000,0.00,30.64,0.4903,-2.2324,True,False
